file,subject
1801.01238,Dynamical Systems (math.DS)
1801.07169,Analysis of PDEs (math.AP)
1801.01136,High Energy Physics - Phenomenology (hep-ph)
1801.01574,Information Theory (cs.IT)
1801.09823,Computer Vision and Pattern Recognition (cs.CV)
1801.02818,Information Theory (cs.IT)
1801.08081,High Energy Physics - Theory (hep-th)
1801.03669,General Relativity and Quantum Cosmology (gr-qc)
1801.04188,Accelerator Physics (physics.acc-ph)
1801.05039,Learning (cs.LG)
1801.01740,Numerical Analysis (math.NA)
1801.02244,Geometric Topology (math.GT)
1801.05132,Robotics (cs.RO)
1801.03117,Strongly Correlated Electrons (cond-mat.str-el)
1801.03874,Earth and Planetary Astrophysics (astro-ph.EP)
1801.09795,Applications (stat.AP)
1801.00934,Quantum Physics (quant-ph)
1801.02224,Quantum Physics (quant-ph)
1801.02394,Information Theory (cs.IT)
1801.00314,Optimization and Control (math.OC)
1801.02388,Instrumentation and Detectors (physics.ins-det)
1801.05119,Computation and Language (cs.CL)
1801.00997,High Energy Astrophysical Phenomena (astro-ph.HE)
1801.07853,Computer Vision and Pattern Recognition (cs.CV)
1801.05565,Statistics Theory (math.ST)
1801.05716,Nuclear Theory (nucl-th)
1801.08176,Quantum Physics (quant-ph)
1801.05339,Computer Vision and Pattern Recognition (cs.CV)
1801.00831,Networking and Internet Architecture (cs.NI)
1801.07399,Computational Geometry (cs.CG)
1801.03049,Computer Vision and Pattern Recognition (cs.CV)
1801.07540,Mesoscale and Nanoscale Physics (cond-mat.mes-hall)
1801.05637,Operating Systems (cs.OS)
1801.04892,Astrophysics of Galaxies (astro-ph.GA)
